,short_name,age,club,overall,potential,wage_eur,player_positions,international_reputation,skill_moves,pace,shooting,passing,dribbling,defending,physic,log_wage,age2
5766,K. Madu,21,SV Zulte-Waregem,67,76,7000,LB,1,2,77.0,56.0,64.0,69.0,63.0,72.0,8.85366542803745,441
5767,G. Miura,22,Gamba Osaka,67,76,6000,CB,1,2,63.0,24.0,45.0,43.0,69.0,66.0,8.699514748210191,484
5768,G. Papunashvili,21,Real Zaragoza,67,76,6000,"RM, CAM",1,4,67.0,67.0,64.0,70.0,30.0,58.0,8.699514748210191,441
5769,A. Zrelak,23,1. FC Nürnberg,67,76,8000,ST,1,3,76.0,65.0,43.0,59.0,29.0,72.0,8.987196820661973,529
5770,T. Browning,23,Sunderland,67,75,38000,"RB, CB",1,2,72.0,34.0,47.0,54.0,68.0,70.0,10.545341438708522,529
5771,M. Angha,23,FC St. Gallen,67,75,8000,"CB, LB, RB",1,2,72.0,36.0,54.0,63.0,63.0,77.0,8.987196820661973,529
5772,K. Escamilla,23,U.N.A.M.,67,75,10000,CDM,1,2,63.0,55.0,63.0,54.0,64.0,68.0,9.210340371976184,529
5773,A. Gilbey,22,Milton Keynes Dons,67,75,6000,"CDM, CM",1,3,77.0,61.0,63.0,64.0,63.0,76.0,8.699514748210191,484
5774,L. MacLeod,23,Brentford,67,75,22000,"LM, CAM",1,3,71.0,56.0,65.0,67.0,53.0,62.0,9.998797732340453,529
5775,Pol García,22,US Cremonese,67,75,37000,"CB, LB, LM",1,2,58.0,32.0,45.0,44.0,69.0,60.0,10.51867319162636,484
5776,T. Lockyer,22,Bristol Rovers,67,75,6000,CB,1,2,65.0,34.0,55.0,55.0,64.0,79.0,8.699514748210191,484
5777,L. Bertone,23,BSC Young Boys,67,75,12000,"CM, CDM",1,2,69.0,64.0,66.0,61.0,60.0,67.0,9.392661928770137,529
5778,D. Kinsombi,21,Holstein Kiel,67,75,6000,"CB, CDM",1,2,66.0,32.0,54.0,57.0,67.0,69.0,8.699514748210191,441
5779,Bicho,21,Deportivo de La Coruña,67,75,10000,"CAM, CM, LM",1,3,62.0,58.0,61.0,68.0,40.0,50.0,9.210340371976184,441
5780,S. McQueen,22,Southampton,67,75,31000,"LB, LM",1,2,75.0,48.0,61.0,70.0,63.0,68.0,10.341742483467284,484
5781,J. Cummings,21,Nottingham Forest,67,75,15000,ST,1,3,72.0,68.0,49.0,69.0,38.0,61.0,9.615805480084347,441
5782,M. Musalov,23,FC Anzhi Makhachkala,67,75,10000,"LB, RB, RM, LM",1,3,77.0,44.0,56.0,68.0,67.0,59.0,9.210340371976184,529
5783,D. Poyet,22,Godoy Cruz,67,75,7000,CDM,1,2,58.0,44.0,59.0,58.0,63.0,68.0,8.85366542803745,484
5784,R. Murić,21,SC Braga,67,75,6000,RW,1,3,79.0,61.0,60.0,76.0,27.0,61.0,8.699514748210191,441
5785,M. Wittek,21,SpVgg Greuther Fürth,67,75,6000,LB,1,2,77.0,62.0,61.0,69.0,61.0,66.0,8.699514748210191,441
5786,H. Diallo,22,Stade Brestois 29,67,75,9000,ST,1,3,65.0,66.0,49.0,66.0,24.0,67.0,9.104979856318357,484
5787,A. Katrich,22,Dinamo Moscow,67,75,17000,RM,1,3,81.0,57.0,59.0,67.0,35.0,60.0,9.740968623038354,484
5788,M. Guanini,21,Gimnasia y Esgrima La Plata,67,75,7000,CB,1,2,33.0,25.0,42.0,38.0,67.0,77.0,8.85366542803745,441
5789,Borja Domingo,21,Levante UD,67,75,12000,ST,1,3,53.0,69.0,48.0,67.0,19.0,50.0,9.392661928770137,441
5790,S. Emaná,23,Gimnàstic de Tarragona,67,75,7000,"ST, LW",1,3,84.0,65.0,54.0,63.0,38.0,78.0,8.85366542803745,529
5791,P. Clement,21,Reading,67,75,18000,"LW, CAM, RW",1,3,73.0,62.0,61.0,71.0,44.0,62.0,9.798127036878302,441
5792,V. van Crooij,21,VVV-Venlo,67,75,7000,"RW, LW",1,3,78.0,63.0,62.0,70.0,30.0,63.0,8.85366542803745,441
5793,Mama Baldé,21,CD Aves,67,75,7000,RB,1,3,76.0,50.0,56.0,66.0,64.0,73.0,8.85366542803745,441
5794,G. Moncur,23,Barnsley,67,74,7000,"CAM, CM, LM",1,3,68.0,64.0,63.0,70.0,52.0,65.0,8.85366542803745,529
5795,J. Wallace,23,Millwall,67,74,18000,"RM, CM",1,3,78.0,60.0,63.0,68.0,43.0,66.0,9.798127036878302,529
5796,L. Azouni,23,KV Kortrijk,67,74,8000,"CM, CDM",1,2,68.0,56.0,63.0,65.0,61.0,72.0,8.987196820661973,529
5797,B. Djimsiti,24,Benevento,67,74,12000,CB,1,2,37.0,39.0,57.0,46.0,66.0,72.0,9.392661928770137,576
5798,D. Daniels,23,Rochdale,67,74,7000,"CB, RB",1,2,69.0,28.0,40.0,36.0,67.0,70.0,8.85366542803745,529
5799,M. Hallberg,21,Kalmar FF,67,74,12000,"CM, CDM, LM",1,2,68.0,60.0,66.0,64.0,55.0,68.0,9.392661928770137,441
5800,P. Gregor,23,FC Nordsjælland,67,74,7000,"CB, RWB",1,2,64.0,39.0,48.0,57.0,67.0,67.0,8.85366542803745,529
5801,L. Cavallini,24,Puebla FC,67,74,6000,ST,1,3,71.0,65.0,47.0,60.0,27.0,75.0,8.699514748210191,576
5802,B. Perea,24,Lazio,67,74,24000,ST,1,3,71.0,62.0,59.0,66.0,27.0,60.0,10.085809109330082,576
5803,A. Hunou,23,Stade Rennais FC,67,74,12000,"CM, CDM, CAM, RM",1,3,67.0,60.0,67.0,70.0,58.0,63.0,9.392661928770137,529
5804,V. Vermeij,22,Heracles Almelo,67,74,7000,ST,1,2,62.0,60.0,49.0,61.0,27.0,71.0,8.85366542803745,484
5805,A. Zapata,22,Millonarios FC,67,74,15000,"RW, LM, CAM",1,3,76.0,61.0,63.0,70.0,33.0,63.0,9.615805480084347,484
5806,M. Pérez Acuña,23,Vélez Sarsfield,67,74,7000,"RB, RM",1,2,72.0,33.0,60.0,65.0,65.0,66.0,8.85366542803745,529
5807,A. Ajeti,20,FC St. Gallen,67,74,9000,"ST, CF, RM",1,2,79.0,63.0,49.0,65.0,23.0,66.0,9.104979856318357,400
5808,Álvaro Bustos,22,Gimnàstic de Tarragona,67,74,7000,"LW, RW",1,3,78.0,60.0,65.0,69.0,51.0,56.0,8.85366542803745,484
5809,S. Becker,22,ADO Den Haag,67,74,7000,"RW, LW",1,3,91.0,61.0,57.0,69.0,31.0,67.0,8.85366542803745,484
5810,J. Salas,23,Club Atlas,67,74,11000,"CM, CDM",1,2,67.0,55.0,65.0,65.0,58.0,71.0,9.305650551780507,529
5811,H. Çinemre,23,Göztepe SK,67,74,9000,CB,1,2,71.0,31.0,44.0,46.0,66.0,73.0,9.104979856318357,529
5812,Eneko Capilla,22,Real Sociedad,67,74,14000,"CAM, CM",1,3,64.0,56.0,65.0,71.0,39.0,42.0,9.546812608597396,484
5813,M. Sauer,23,Eintracht Braunschweig,67,74,11000,"RB, RM, RWB",1,2,76.0,38.0,58.0,67.0,63.0,59.0,9.305650551780507,529
5814,P. Joosten,21,FC Utrecht,67,74,7000,"ST, CAM, LW",1,3,85.0,65.0,61.0,71.0,42.0,60.0,8.85366542803745,441
5815,J. Kliment,23,Brøndby IF,67,74,14000,"ST, CAM",1,3,69.0,62.0,61.0,69.0,29.0,61.0,9.546812608597396,529
5816,J. Aidoo,21,KRC Genk,67,74,7000,CB,1,2,76.0,25.0,31.0,44.0,62.0,84.0,8.85366542803745,441
5817,D. Poha,20,US Orléans Loiret Football,67,74,10000,"CDM, CM",1,2,77.0,58.0,64.0,68.0,64.0,72.0,9.210340371976184,400
5818,J. Monteiro,23,Heracles Almelo,67,74,6000,CM,1,3,77.0,49.0,65.0,68.0,60.0,63.0,8.699514748210191,529
5819,Z. El Azzouzi,21,Excelsior,67,74,7000,ST,1,3,75.0,65.0,53.0,71.0,20.0,62.0,8.85366542803745,441
5820,J. Attamah,23,Medipol Başakşehir FK,67,74,12000,"CDM, CB",1,2,69.0,48.0,57.0,48.0,69.0,73.0,9.392661928770137,529
5821,K. Pedersen,22,1. FC Union Berlin,67,74,14000,LB,1,2,66.0,36.0,55.0,61.0,64.0,76.0,9.546812608597396,484
5822,R. Niemeijer,22,Heracles Almelo,67,74,6000,"CAM, CM",1,3,70.0,60.0,63.0,67.0,45.0,55.0,8.699514748210191,484
5823,I. Sackey,23,Alanyaspor,67,74,7000,"CDM, CB",1,2,53.0,59.0,57.0,62.0,65.0,79.0,8.85366542803745,529
5824,N. Ngamaleu,22,BSC Young Boys,67,74,13000,"ST, RM",1,3,87.0,63.0,57.0,66.0,32.0,68.0,9.472704636443673,484
5825,H. Duljević,23,SG Dynamo Dresden,67,74,8000,"CAM, LM",1,3,70.0,58.0,64.0,67.0,33.0,68.0,8.987196820661973,529
5826,J. Bidwell,24,Queens Park Rangers,67,73,13000,"LB, LWB",1,2,69.0,43.0,65.0,62.0,65.0,68.0,9.472704636443673,576
5827,M. Ducksch,23,Holstein Kiel,67,73,11000,ST,1,3,65.0,65.0,51.0,63.0,31.0,64.0,9.305650551780507,529
5828,N. Powell,23,Wigan Athletic,67,73,8000,"CM, ST, CAM",1,3,71.0,70.0,65.0,69.0,40.0,64.0,8.987196820661973,529
5829,J. Scowen,24,Queens Park Rangers,67,73,15000,"CM, CDM, RM",1,2,60.0,52.0,64.0,67.0,65.0,71.0,9.615805480084347,576
5830,G. van Velzen,23,Roda JC Kerkrade,67,73,6000,LM,1,3,85.0,60.0,59.0,66.0,18.0,62.0,8.699514748210191,529
5831,L. Isgrove,24,Barnsley,67,73,7000,"RM, LM",1,3,87.0,51.0,58.0,69.0,33.0,60.0,8.85366542803745,576
5832,H. Kryeziu,24,FC Luzern,67,73,7000,"CM, CDM",1,2,73.0,52.0,64.0,65.0,65.0,63.0,8.85366542803745,576
5833,M. Sax,24,FC Admira Wacker Mödling,67,73,6000,RM,1,3,74.0,57.0,62.0,67.0,24.0,62.0,8.699514748210191,576
5834,G. Saville,24,Millwall,67,73,18000,"CM, LM",1,2,64.0,60.0,65.0,63.0,66.0,69.0,9.798127036878302,576
5835,O. Yıldırım,24,Eintracht Braunschweig,67,73,13000,"CAM, LM, RM",1,4,66.0,58.0,62.0,77.0,34.0,51.0,9.472704636443673,576
5836,B. Dickenson,24,Colchester United,67,73,8000,"LWB, LM, LB",1,2,88.0,65.0,59.0,68.0,59.0,73.0,8.987196820661973,576
5837,T. Haye,22,Willem II,67,73,6000,"LM, CAM",1,3,65.0,56.0,73.0,72.0,59.0,55.0,8.699514748210191,484
5838,M. Nkololo,24,Stade Malherbe Caen,67,73,12000,"CAM, RW",1,2,81.0,65.0,59.0,68.0,25.0,47.0,9.392661928770137,576
5839,L. Đorđević,22,Arsenal Tula,67,73,29000,"ST, LW",1,3,78.0,64.0,62.0,69.0,24.0,54.0,10.275051108968611,484
5840,A. Putsko,24,SKA Khabarovsk,67,73,13000,CB,1,2,52.0,44.0,48.0,40.0,66.0,73.0,9.472704636443673,576
5841,A. Al Ghamdi,22,Al Ittihad,67,73,21000,"ST, RM, LM, CAM",1,3,75.0,64.0,61.0,67.0,23.0,69.0,9.95227771670556,484
5842,D. Diagné,22,KAS Eupen,67,73,6000,"CDM, RB, CB, CM",1,2,79.0,44.0,61.0,62.0,67.0,64.0,8.699514748210191,484
5843,J. Delgado,24,Gimnàstic de Tarragona,67,73,6000,"LM, ST, RM",1,4,80.0,64.0,59.0,70.0,36.0,65.0,8.699514748210191,576
5844,V. Krotov,24,FC Ufa,67,73,15000,"ST, RW",1,2,78.0,65.0,62.0,71.0,44.0,63.0,9.615805480084347,576
5845,G. Monachello,23,Palermo,67,73,15000,ST,1,2,53.0,67.0,47.0,65.0,24.0,62.0,9.615805480084347,529
5846,C. Falletti,24,Bologna,67,73,24000,"CAM, RW",1,3,88.0,56.0,61.0,71.0,17.0,60.0,10.085809109330082,576
5847,Marcelo Djaló,23,Fulham,67,73,19000,CB,1,2,47.0,30.0,29.0,42.0,69.0,75.0,9.852194258148577,529
5848,Sebas Coris,24,CA Osasuna,67,73,11000,"RWB, LWB, LM, RM",1,3,71.0,56.0,61.0,68.0,64.0,58.0,9.305650551780507,576
5849,V. Yurchenko,23,Bayer 04 Leverkusen,67,73,23000,"CM, CAM",1,3,66.0,62.0,68.0,72.0,52.0,54.0,10.043249494911286,529
5850,D. Furlong,21,Queens Park Rangers,67,73,12000,"RB, RWB",1,2,72.0,36.0,55.0,65.0,65.0,66.0,9.392661928770137,441
5851,M. Bani,23,Chievo Verona,67,73,8000,CB,1,2,58.0,15.0,29.0,50.0,68.0,74.0,8.987196820661973,529
5852,Felipe Pires,22,FK Austria Wien,67,73,17000,"LM, RM",1,3,84.0,55.0,60.0,70.0,33.0,52.0,9.740968623038354,484
5853,V. Rodić,23,Randers FC,67,73,8000,RM,1,4,84.0,54.0,57.0,69.0,44.0,65.0,8.987196820661973,529
5854,M. Moreno,23,Club Atlético Lanús,67,73,10000,"RW, LW",1,3,79.0,62.0,61.0,72.0,31.0,51.0,9.210340371976184,529
5855,Cláudio Falcão,22,CD Aves,67,73,7000,"CM, CDM",1,2,76.0,50.0,61.0,66.0,64.0,54.0,8.85366542803745,484
5856,M. Hvilsom,24,SønderjyskE,67,72,9000,"ST, LM",1,2,77.0,62.0,58.0,61.0,36.0,76.0,9.104979856318357,576
5857,G. Trauner,25,LASK Linz,67,72,9000,"CB, CM, CDM",1,2,66.0,57.0,60.0,61.0,63.0,79.0,9.104979856318357,625
5858,M. Power,23,Wigan Athletic,67,72,8000,"CM, RM",1,3,61.0,65.0,67.0,64.0,61.0,70.0,8.987196820661973,529
5859,J. Cousins,23,Queens Park Rangers,67,72,15000,"RM, CM",1,3,77.0,55.0,61.0,67.0,55.0,72.0,9.615805480084347,529
5860,Leandro,24,Kashima Antlers,67,72,8000,"ST, LM, CAM, RM",1,3,76.0,66.0,61.0,65.0,25.0,68.0,8.987196820661973,576
5861,K. Lala,25,RC Strasbourg Alsace,67,72,12000,"RB, LB",1,2,77.0,39.0,56.0,64.0,62.0,67.0,9.392661928770137,625
5862,A. Escoboza,24,Puebla FC,67,72,11000,"LM, LW",1,3,74.0,66.0,63.0,70.0,33.0,65.0,9.305650551780507,576
5863,K. Hemmings,25,Mansfield Town,67,72,8000,ST,1,2,72.0,66.0,48.0,63.0,23.0,64.0,8.987196820661973,625
5864,G. Claes,23,KV Mechelen,67,72,8000,"LM, RM",1,3,66.0,65.0,65.0,68.0,56.0,64.0,8.987196820661973,529
5865,Jairo Morillas,23,RCD Espanyol,67,72,15000,ST,1,3,72.0,68.0,45.0,62.0,31.0,61.0,9.615805480084347,529
5866,J. Valencia,25,CD Feirense,67,72,7000,ST,1,3,69.0,63.0,42.0,66.0,23.0,73.0,8.85366542803745,625
5867,L. Gülen,23,Kayserispor,67,72,7000,"RB, CB",1,2,78.0,30.0,49.0,62.0,67.0,75.0,8.85366542803745,529
5868,J. Buatu Mananga,23,Waasland-Beveren,67,72,6000,CB,1,2,66.0,41.0,43.0,54.0,64.0,78.0,8.699514748210191,529
5869,J. Nsamé,24,BSC Young Boys,67,72,13000,ST,1,2,72.0,70.0,44.0,66.0,21.0,62.0,9.472704636443673,576
5870,C. Benavente,23,Sporting de Charleroi,67,72,8000,CAM,1,3,77.0,60.0,60.0,73.0,35.0,46.0,8.987196820661973,529
5871,A. Touré,23,FC Nantes,67,72,11000,"CDM, CM",1,2,31.0,49.0,57.0,52.0,67.0,73.0,9.305650551780507,529
5872,T. Boyd,22,CD Tondela,67,72,6000,"RW, LW",1,3,85.0,63.0,53.0,69.0,18.0,60.0,8.699514748210191,484
5873,D. Bakker,22,ADO Den Haag,67,72,6000,"CDM, CM, CB",1,2,54.0,51.0,65.0,66.0,64.0,69.0,8.699514748210191,484
5874,P. Konate,23,SPAL,67,72,7000,"LB, LM",1,2,75.0,40.0,59.0,63.0,63.0,58.0,8.85366542803745,529
5875,P. Becker,24,Rosario Central,67,72,9000,"RM, CAM, CM, LM",1,4,81.0,57.0,67.0,68.0,29.0,60.0,9.104979856318357,576
5876,J. von Haacke,23,SV Darmstadt 98,67,72,13000,CM,1,2,56.0,54.0,64.0,67.0,56.0,63.0,9.472704636443673,529
5877,D. Ortiz,24,Newell's Old Boys,67,72,7000,CB,1,2,55.0,27.0,31.0,43.0,68.0,71.0,8.85366542803745,576
5878,Gwon Wan Gyu,25,Pohang Steelers,67,72,6000,RB,1,2,80.0,30.0,56.0,62.0,66.0,65.0,8.699514748210191,625
5879,K. Friesenbichler,23,FK Austria Wien,67,72,13000,ST,1,2,67.0,65.0,41.0,62.0,20.0,60.0,9.472704636443673,529
5880,J. Correa,24,Godoy Cruz,67,72,8000,ST,1,2,64.0,67.0,44.0,63.0,26.0,71.0,8.987196820661973,576
5881,R. Habran,23,Paris Saint-Germain,67,72,32000,"RM, RW",1,3,87.0,59.0,60.0,69.0,41.0,70.0,10.373491181781864,529
5882,R. van der Meer,22,FC Utrecht,67,72,6000,LB,1,2,69.0,41.0,60.0,61.0,65.0,83.0,8.699514748210191,484
5883,J. Müller,23,SG Dynamo Dresden,67,72,7000,CB,1,2,66.0,34.0,47.0,49.0,67.0,71.0,8.85366542803745,529
5884,Manel,25,Lorca FC,67,72,14000,ST,1,3,56.0,68.0,50.0,61.0,32.0,64.0,9.546812608597396,625
5885,V. Kovačević,24,KV Kortrijk,67,72,7000,CB,1,2,54.0,24.0,42.0,39.0,66.0,72.0,8.85366542803745,576
5886,A. Turan,25,Kayserispor,67,71,8000,"LB, LM",1,4,76.0,58.0,65.0,71.0,56.0,71.0,8.987196820661973,625
5887,W. Keane,24,Hull City,67,71,7000,ST,1,3,73.0,66.0,55.0,68.0,34.0,61.0,8.85366542803745,576
5888,N. Ajose,25,Bury,67,71,9000,"ST, RW",1,3,80.0,69.0,51.0,65.0,28.0,59.0,9.104979856318357,625
5889,R. Miyaichi,24,FC St. Pauli,67,71,10000,"RM, LM",2,3,92.0,54.0,56.0,74.0,25.0,33.0,9.210340371976184,576
5890,N. Byrne,25,Wigan Athletic,67,71,8000,"RB, RM",1,3,86.0,51.0,60.0,67.0,60.0,63.0,8.987196820661973,625
5891,S. Wootton,25,Milton Keynes Dons,67,71,7000,"CB, RB",1,2,58.0,24.0,51.0,57.0,67.0,71.0,8.85366542803745,625
5892,K. Pusch,24,1. FC Heidenheim 1846,67,71,10000,"CAM, CM",1,3,68.0,59.0,63.0,65.0,52.0,66.0,9.210340371976184,576
5893,Y. van Nieff,24,FC Groningen,67,71,6000,LB,1,2,47.0,67.0,71.0,64.0,65.0,71.0,8.699514748210191,576
5894,J. Croux,23,Willem II,67,71,6000,"RM, LM",1,3,80.0,63.0,59.0,74.0,26.0,60.0,8.699514748210191,529
5895,V. Alvarado,24,Santos Laguna,67,71,10000,CB,1,2,66.0,41.0,57.0,58.0,65.0,72.0,9.210340371976184,576
5896,H. Mahbub,24,Al Hilal,67,71,17000,LB,1,2,77.0,43.0,57.0,61.0,63.0,75.0,9.740968623038354,576
5897,F. Evangelista,25,Boca Juniors,67,71,12000,LB,1,3,68.0,52.0,61.0,64.0,66.0,69.0,9.392661928770137,625
5898,J. Gómez,23,Querétaro,67,71,6000,"RB, RM",1,2,79.0,57.0,59.0,71.0,63.0,60.0,8.699514748210191,529
5899,R. Costa,24,Club Atlético Temperley,67,71,7000,"ST, CF",1,3,58.0,62.0,52.0,64.0,35.0,67.0,8.85366542803745,576
5900,L. Stojanović,23,Royal Antwerp FC,67,71,8000,CAM,1,3,61.0,68.0,61.0,64.0,54.0,74.0,8.987196820661973,529
5901,Piqueti,24,Clube Sport Marítimo,67,71,6000,"LW, RW",1,3,87.0,62.0,56.0,72.0,27.0,59.0,8.699514748210191,576
5902,E. Burgos,25,AD Alcorcón,67,71,6000,CB,1,2,45.0,32.0,40.0,49.0,69.0,74.0,8.699514748210191,625
5903,K. Adams Nuhu,22,BSC Young Boys,67,71,11000,CB,1,2,65.0,43.0,48.0,48.0,65.0,78.0,9.305650551780507,484
5904,H. Pehlivan,23,Gençlerbirliği SK,67,71,9000,LB,1,2,67.0,50.0,53.0,62.0,67.0,66.0,9.104979856318357,529
5905,F. Rherras,24,KV Mechelen,67,71,7000,"RB, LB",1,2,82.0,61.0,57.0,66.0,64.0,71.0,8.85366542803745,576
5906,Álvaro,26,AD Alcorcón,67,70,8000,"ST, RM, LM, CAM",1,3,73.0,63.0,57.0,68.0,23.0,61.0,8.987196820661973,676
5907,D. Hoesen,26,San Jose Earthquakes,67,70,8000,"ST, LW",1,3,74.0,64.0,56.0,70.0,30.0,63.0,8.987196820661973,676
5908,S. Hierländer,26,SK Sturm Graz,67,70,13000,"CAM, RM",1,3,69.0,60.0,63.0,70.0,51.0,61.0,9.472704636443673,676
5909,A. Zabolotnyy,26,FC Tosno,67,70,14000,ST,1,2,64.0,67.0,47.0,55.0,20.0,69.0,9.546812608597396,676
5910,G. Hairemans,25,Royal Antwerp FC,67,70,8000,"CAM, CM",1,3,62.0,61.0,69.0,66.0,49.0,67.0,8.987196820661973,625
5911,A. Boyle,26,Preston North End,67,70,9000,CB,1,2,58.0,37.0,51.0,50.0,66.0,76.0,9.104979856318357,676
5912,A. Messaoud,26,Excelsior,67,70,7000,CAM,1,3,63.0,63.0,66.0,69.0,25.0,58.0,8.85366542803745,676
5913,B. Bodin,25,Bristol Rovers,67,70,7000,"RM, LM, RW",1,4,77.0,67.0,62.0,71.0,42.0,56.0,8.85366542803745,625
5914,D. Thomalla,24,1. FC Heidenheim 1846,67,70,11000,ST,1,3,70.0,65.0,56.0,64.0,34.0,60.0,9.305650551780507,576
5915,M. Pérez,24,Club América,67,70,28000,RW,1,3,75.0,61.0,65.0,68.0,26.0,59.0,10.239959789157341,576
5916,Dudu,26,Ohod Club,67,70,13000,CAM,1,3,67.0,65.0,67.0,66.0,55.0,65.0,9.472704636443673,676
5917,M. Tosetti,25,FC Thun,67,70,9000,"RM, LM",1,2,79.0,52.0,63.0,68.0,32.0,55.0,9.104979856318357,625
5918,T. Weilandt,25,Holstein Kiel,67,70,11000,"RM, LM",1,3,71.0,61.0,62.0,73.0,36.0,57.0,9.305650551780507,625
5919,S. Elbers,25,Excelsior,67,70,7000,"RM, LM",1,3,78.0,66.0,58.0,73.0,29.0,56.0,8.85366542803745,625
5920,N. Röseler,25,VVV-Venlo,67,70,7000,CB,1,2,66.0,35.0,54.0,58.0,65.0,68.0,8.85366542803745,625
5921,O. Bulut,23,SC Freiburg,67,70,13000,RM,1,3,78.0,55.0,63.0,64.0,53.0,68.0,9.472704636443673,529
5922,M. Vermijl,25,Preston North End,67,70,8000,"RB, RWB",1,2,84.0,51.0,53.0,66.0,62.0,73.0,8.987196820661973,625
5923,T. Boyd,26,SV Darmstadt 98,67,70,16000,ST,1,2,52.0,69.0,44.0,57.0,30.0,72.0,9.680344001221918,676
5924,M. Wallace,24,Scunthorpe United,67,70,6000,CB,1,2,54.0,26.0,42.0,52.0,66.0,73.0,8.699514748210191,576
5925,M. Lais,26, SSV Jahn Regensburg,67,70,7000,"CDM, CM",1,3,84.0,55.0,61.0,68.0,62.0,63.0,8.85366542803745,676
5926,K. Altınay,25,Osmanlıspor,67,70,10000,"CDM, RB",1,3,79.0,50.0,60.0,68.0,64.0,70.0,9.210340371976184,625
5927,Álex Gallar,25,SD Huesca,67,70,6000,"RM, LM",1,3,69.0,67.0,67.0,67.0,30.0,59.0,8.699514748210191,625
5928,J. Navrátil,25,Heracles Almelo,67,70,7000,"RW, LW",1,3,89.0,62.0,57.0,70.0,45.0,58.0,8.85366542803745,625
5929,M. Rosales,25,Club Olimpo,67,70,9000,"RB, LB",1,2,69.0,35.0,57.0,60.0,65.0,65.0,9.104979856318357,625
5930,M. Hofmann,23,SK Rapid Wien,67,70,11000,CB,1,2,67.0,39.0,49.0,47.0,68.0,67.0,9.305650551780507,529
5931,B. Pelé,25,ESTAC Troyes,67,70,14000,"LW, RW",1,2,76.0,55.0,64.0,73.0,36.0,45.0,9.546812608597396,625
5932,S. Vučur,25,1. FC Kaiserslautern,67,70,7000,CB,1,2,62.0,26.0,37.0,39.0,64.0,79.0,8.85366542803745,625
5933,M. Pavelic,23,SK Rapid Wien,67,70,11000,RB,1,2,75.0,53.0,61.0,65.0,65.0,65.0,9.305650551780507,529
5934,S. Molina,25,Avellino,67,70,15000,"RM, RW, LW",1,3,76.0,48.0,64.0,72.0,35.0,64.0,9.615805480084347,625
5935,P. Žulj,24,SK Sturm Graz,67,70,11000,"CM, CDM, CAM",1,4,66.0,63.0,68.0,67.0,58.0,60.0,9.305650551780507,576
5936,R. Mirzov,24,FC Tosno,67,70,17000,"LM, LW",1,3,77.0,60.0,62.0,70.0,47.0,63.0,9.740968623038354,576
5937,M. Šitum,25,Lech Poznań,67,70,6000,LM,1,3,75.0,62.0,64.0,67.0,32.0,52.0,8.699514748210191,625
5938,F. Fattori,24,Newell's Old Boys,67,70,9000,CM,1,3,69.0,54.0,65.0,67.0,60.0,66.0,9.104979856318357,576
5939,N. Kuipers,24,ADO Den Haag,67,70,6000,CB,1,2,33.0,35.0,43.0,48.0,66.0,78.0,8.699514748210191,576
5940,P. Kirkevold,26,Hobro IK,67,70,8000,ST,1,2,63.0,66.0,60.0,62.0,28.0,80.0,8.987196820661973,676
5941,V. Moren,26,Waasland-Beveren,67,70,7000,CB,1,2,35.0,28.0,43.0,43.0,68.0,70.0,8.85366542803745,676
5942,F. Antunes,25,Sint-Truidense VV,67,70,7000,LB,1,2,70.0,38.0,59.0,64.0,64.0,69.0,8.85366542803745,625
5943,Lucas Galvão,26,SK Rapid Wien,67,70,13000,"LB, CB, LM",1,3,75.0,49.0,59.0,64.0,66.0,70.0,9.472704636443673,676
5944,D. Sundgren,26,AIK,67,70,6000,RWB,1,2,75.0,36.0,56.0,59.0,64.0,74.0,8.699514748210191,676
5945,C. Rodríguez,27,Club Atlético Tigre,67,70,8000,CB,1,2,53.0,30.0,33.0,43.0,67.0,75.0,8.987196820661973,729
5946,G. Gudiño,25,San Lorenzo de Almagro,67,70,12000,RM,1,3,75.0,65.0,65.0,65.0,55.0,57.0,9.392661928770137,625
5947,M. Bokadi,25,Standard de Liège,67,70,9000,CDM,1,2,54.0,33.0,50.0,56.0,65.0,76.0,9.104979856318357,625
5948,P. Eler,26,AS Nancy Lorraine,67,70,6000,"ST, CF",1,3,70.0,67.0,61.0,64.0,22.0,56.0,8.699514748210191,676
5949,S. Grippo,28,Real Zaragoza,67,69,7000,"CB, CDM",1,2,60.0,54.0,60.0,55.0,63.0,80.0,8.85366542803745,784
5950,R. Söder,26,Sporting Lokeren,67,69,10000,"ST, RM, LM, CAM",1,2,72.0,65.0,59.0,68.0,31.0,62.0,9.210340371976184,676
5951,N. Toko,26,FC St. Gallen,67,69,10000,"CM, CDM, CAM",1,3,91.0,55.0,61.0,70.0,62.0,78.0,9.210340371976184,676
5952,R. Kiernan,26,Southend United,67,69,6000,CB,1,2,66.0,25.0,54.0,56.0,64.0,75.0,8.699514748210191,676
5953,X. Chavalerin,26,Stade de Reims,67,69,7000,"CM, CDM",1,3,71.0,62.0,70.0,65.0,45.0,57.0,8.85366542803745,676
5954,L. Hyam,25,Ipswich Town,67,69,12000,CM,1,2,74.0,51.0,63.0,66.0,70.0,82.0,9.392661928770137,625
5955,G. Landel,26,Alanyaspor,67,69,8000,"CDM, CM",1,3,78.0,58.0,62.0,67.0,66.0,58.0,8.987196820661973,676
5956,S. Mantom,25,Scunthorpe United,67,69,8000,CM,1,2,63.0,60.0,66.0,65.0,51.0,64.0,8.987196820661973,625
5957,R. Towell,25,Rotherham United,67,69,25000,"CAM, CM, CDM",1,3,69.0,64.0,65.0,65.0,61.0,73.0,10.126631103850338,625
